timestamp,node,namespace,pod,container,syscall_read_rate,syscall_write_rate,syscall_open_rate,tcp_connect_rate,tcp_retransmit_rate,network_rx_bytes,network_tx_bytes,disk_read_bytes,disk_write_bytes,disk_io_latency_ms,process_exec_count,process_fork_count,context_switch_count
2026-05-27T03:10:59Z,mock-node,default,mock-pod,app,721.213,484.522,19.322,95.274,0.172,290401.412,46671.504,21272.44,17332.978,2.075,1.059,1.028,600.072
2026-05-27T03:11:09Z,mock-node,default,mock-pod,app,846.216,484.181,21.496,74.63,0.148,259967.309,37190.864,20916.338,14896.699,2.156,0.904,1.046,847.299
2026-05-27T03:11:19Z,mock-node,default,mock-pod,app,675.622,565.933,21.67,117.955,0.181,266721.785,37935.72,19680.736,16422.177,2.075,0.933,0.856,737.529
2026-05-27T03:11:29Z,mock-node,default,mock-pod,app,887.354,395.464,20.734,106.398,0.155,302181.346,47837.462,13956.909,14276.414,1.968,0.877,1.075,792.526
2026-05-27T03:11:39Z,mock-node,default,mock-pod,app,585.226,505.88,22.008,114.188,0.243,316300.965,40715.645,16102.496,16384.747,1.816,0.932,0.81,683.886
2026-05-27T03:11:49Z,mock-node,default,mock-pod,app,690.249,536.997,13.905,78.134,0.207,364950.739,43470.982,14300.17,9333.972,2.107,0.89,0.832,917.285
2026-05-27T03:11:59Z,mock-node,default,mock-pod,app,873.951,460.615,20.737,106.515,0.248,327856.287,43111.897,21643.213,11471.301,2.385,1.143,1.079,563.135
2026-05-27T03:12:09Z,mock-node,default,mock-pod,app,678.711,506.855,14.566,97.24,0.231,240996.512,49660.637,21655.892,14662.188,2.097,1.097,1.018,937.479
2026-05-27T03:12:19Z,mock-node,default,mock-pod,app,675.576,422.005,23.125,100.402,0.174,342590.487,48792.985,18665.522,11895.015,1.96,0.978,0.955,968.572
2026-05-27T03:12:29Z,mock-node,default,mock-pod,app,634.47,535.09,16.195,88.194,0.219,350791.064,45154.014,21035.674,15320.302,2.046,1.086,0.974,833.292
2026-05-27T03:12:39Z,mock-node,default,mock-pod,app,814.432,450.057,22.292,108.488,0.26,314622.419,37434.442,18882.346,14970.512,2.277,0.95,1.058,1020.476
2026-05-27T03:12:49Z,mock-node,default,mock-pod,app,461.474,374.136,20.732,105.975,0.207,280598.183,43930.877,20846.39,13825.384,2.729,1.053,0.917,788.066
2026-05-27T03:12:59Z,mock-node,default,mock-pod,app,724.621,445.765,11.816,92.697,0.23,247414.698,39599.799,22860.516,16926.398,2.447,0.745,0.947,759.086
2026-05-27T03:13:09Z,mock-node,default,mock-pod,app,820.12,523.696,11.952,116.33,0.157,330741.744,31047.17,20527.558,17687.973,1.955,1.029,1.12,816.965
2026-05-27T03:13:19Z,mock-node,default,mock-pod,app,740.046,553.495,23.145,95.593,0.282,248392.243,45487.655,19202.856,15297.823,2.212,1.033,1.096,616.721
2026-05-27T03:13:29Z,mock-node,default,mock-pod,app,580.18,491.509,17.111,84.6,0.156,356987.102,44479.348,24419.224,12890.09,2.0,0.829,1.115,990.731
2026-05-27T03:13:39Z,mock-node,default,mock-pod,app,649.85,555.322,22.964,97.332,0.141,363298.428,39422.437,18191.515,15899.09,2.123,1.225,0.847,936.348
2026-05-27T03:13:49Z,mock-node,default,mock-pod,app,917.328,548.026,19.458,88.84,0.231,305183.339,40745.137,24272.644,14407.268,1.311,0.942,0.722,898.254
2026-05-27T03:13:59Z,mock-node,default,mock-pod,app,785.666,408.744,19.971,112.489,0.202,359693.468,39632.291,23121.004,18355.832,2.483,0.899,1.132,574.88
