timestamp,node,namespace,pod,container,anomaly_score,is_anomaly,top_features
2026-05-27T03:10:59Z,mock-node,default,mock-pod,app,0.888976,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 6.884, ""z"": 224.51}, {""feature"": ""network_rx_bytes"", ""value"": 19360.094, ""z"": -3.891}, {""feature"": ""network_tx_bytes"", ""value"": 18668.602, ""z"": -3.593}]"
2026-05-27T03:11:09Z,mock-node,default,mock-pod,app,0.858215,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 5.907, ""z"": 191.694}, {""feature"": ""network_tx_bytes"", ""value"": 14876.346, ""z"": -4.232}, {""feature"": ""network_rx_bytes"", ""value"": 17331.154, ""z"": -4.148}]"
2026-05-27T03:11:19Z,mock-node,default,mock-pod,app,0.963466,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 7.256, ""z"": 237.004}, {""feature"": ""network_tx_bytes"", ""value"": 15174.288, ""z"": -4.181}, {""feature"": ""network_rx_bytes"", ""value"": 17781.452, ""z"": -4.091}]"
2026-05-27T03:11:29Z,mock-node,default,mock-pod,app,0.926258,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 6.212, ""z"": 201.939}, {""feature"": ""network_rx_bytes"", ""value"": 20145.423, ""z"": -3.792}, {""feature"": ""network_tx_bytes"", ""value"": 19134.985, ""z"": -3.514}]"
2026-05-27T03:11:39Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 9.729, ""z"": 320.067}, {""feature"": ""network_tx_bytes"", ""value"": 16286.258, ""z"": -3.994}, {""feature"": ""network_rx_bytes"", ""value"": 21086.731, ""z"": -3.673}]"
2026-05-27T03:11:49Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 8.287, ""z"": 271.633}, {""feature"": ""network_tx_bytes"", ""value"": 17388.393, ""z"": -3.808}, {""feature"": ""network_rx_bytes"", ""value"": 24330.049, ""z"": -3.263}]"
2026-05-27T03:11:59Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 9.913, ""z"": 326.247}, {""feature"": ""network_tx_bytes"", ""value"": 17244.759, ""z"": -3.833}, {""feature"": ""network_rx_bytes"", ""value"": 21857.086, ""z"": -3.576}]"
2026-05-27T03:12:09Z,mock-node,default,mock-pod,app,0.906743,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 9.223, ""z"": 303.071}, {""feature"": ""network_rx_bytes"", ""value"": 16066.434, ""z"": -4.308}, {""feature"": ""network_tx_bytes"", ""value"": 19864.255, ""z"": -3.391}]"
2026-05-27T03:12:19Z,mock-node,default,mock-pod,app,0.834528,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 6.943, ""z"": 226.491}, {""feature"": ""network_rx_bytes"", ""value"": 22839.366, ""z"": -3.451}, {""feature"": ""network_tx_bytes"", ""value"": 19517.194, ""z"": -3.45}]"
2026-05-27T03:12:29Z,mock-node,default,mock-pod,app,0.953767,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 8.758, ""z"": 287.453}, {""feature"": ""network_tx_bytes"", ""value"": 18061.606, ""z"": -3.695}, {""feature"": ""network_rx_bytes"", ""value"": 23386.071, ""z"": -3.382}]"
2026-05-27T03:12:39Z,mock-node,default,mock-pod,app,0.913125,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 10.413, ""z"": 343.041}, {""feature"": ""network_tx_bytes"", ""value"": 14973.777, ""z"": -4.215}, {""feature"": ""network_rx_bytes"", ""value"": 20974.828, ""z"": -3.687}]"
2026-05-27T03:12:49Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 8.286, ""z"": 271.6}, {""feature"": ""network_rx_bytes"", ""value"": 18706.546, ""z"": -3.974}, {""feature"": ""network_tx_bytes"", ""value"": 17572.351, ""z"": -3.777}]"
2026-05-27T03:12:59Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 9.21, ""z"": 302.635}, {""feature"": ""network_rx_bytes"", ""value"": 16494.313, ""z"": -4.254}, {""feature"": ""network_tx_bytes"", ""value"": 15839.92, ""z"": -4.069}]"
2026-05-27T03:13:09Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 6.263, ""z"": 203.652}, {""feature"": ""network_tx_bytes"", ""value"": 12418.868, ""z"": -4.646}, {""feature"": ""network_rx_bytes"", ""value"": 22049.45, ""z"": -3.551}]"
2026-05-27T03:13:19Z,mock-node,default,mock-pod,app,0.969966,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 11.294, ""z"": 372.631}, {""feature"": ""network_rx_bytes"", ""value"": 16559.483, ""z"": -4.246}, {""feature"": ""network_tx_bytes"", ""value"": 18195.062, ""z"": -3.673}]"
2026-05-27T03:13:29Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 6.236, ""z"": 202.745}, {""feature"": ""network_tx_bytes"", ""value"": 17791.739, ""z"": -3.74}, {""feature"": ""network_rx_bytes"", ""value"": 23799.14, ""z"": -3.33}]"
2026-05-27T03:13:39Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 5.634, ""z"": 182.525}, {""feature"": ""network_tx_bytes"", ""value"": 15768.975, ""z"": -4.081}, {""feature"": ""network_rx_bytes"", ""value"": 24219.895, ""z"": -3.277}]"
2026-05-27T03:13:49Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 9.222, ""z"": 303.038}, {""feature"": ""network_tx_bytes"", ""value"": 16298.055, ""z"": -3.992}, {""feature"": ""network_rx_bytes"", ""value"": 20345.556, ""z"": -3.767}]"
2026-05-27T03:13:59Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 8.095, ""z"": 265.184}, {""feature"": ""network_tx_bytes"", ""value"": 15852.916, ""z"": -4.067}, {""feature"": ""network_rx_bytes"", ""value"": 23979.565, ""z"": -3.307}]"
2026-05-27T03:14:09Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 7.985, ""z"": 261.49}, {""feature"": ""network_tx_bytes"", ""value"": 15931.366, ""z"": -4.054}, {""feature"": ""network_rx_bytes"", ""value"": 19423.358, ""z"": -3.883}]"
2026-05-27T03:14:19Z,mock-node,default,mock-pod,app,0.941087,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 6.025, ""z"": 195.658}, {""feature"": ""network_rx_bytes"", ""value"": 18206.463, ""z"": -4.037}, {""feature"": ""network_tx_bytes"", ""value"": 18417.786, ""z"": -3.635}]"
2026-05-27T03:14:29Z,mock-node,default,mock-pod,app,1.0,True,"[{""feature"": ""tcp_retransmit_rate"", ""value"": 7.075, ""z"": 230.925}, {""feature"": ""network_rx_bytes"", ""value"": 15404.699, ""z"": -4.392}, {""feature"": ""network_tx_bytes"", ""value"": 15718.54, ""z"": -4.09}]"
