timestamp,node,namespace,pod,container,syscall_read_rate,syscall_write_rate,syscall_open_rate,tcp_connect_rate,tcp_retransmit_rate,network_rx_bytes,network_tx_bytes,disk_read_bytes,disk_write_bytes,disk_io_latency_ms,process_exec_count,process_fork_count,context_switch_count,cpu_utilization
2026-06-01T02:22:10Z,worker-1,node,system,kubelet.service,440.5,37.4,159.0,1.2,0.0,43105.0,110255.0,0.0,0.0,0.0,0.0,0.0,5880.0,0.0682131164
2026-06-01T02:22:10Z,worker-1,gpu-operator,gpu-operator-1764036362-node-feature-discovery-worker-9v5dt,worker,0.4,0.2,0.0,0.0,0.0,222.0,188.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0002090294
2026-06-01T02:22:10Z,worker-1,longhorn-system,longhorn-csi-plugin-t8lpt,longhorn-csi-plugin,2.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0003687547
2026-06-01T02:22:10Z,worker-1,longhorn-system,longhorn-manager-fgsfc,longhorn-manager,104.8,44.2,0.2,0.1,0.0,440060.0,13923.0,0.0,0.0,0.0,0.0,0.0,4317.0,0.0139339843
2026-06-01T02:22:10Z,worker-1,longhorn-system,longhorn-csi-plugin-t8lpt,node-driver-registrar,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.05388e-05
2026-06-01T02:22:10Z,worker-1,node,system,containerd.service,415.1,136.3,218.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,271.0,15883.0,0.0993248838
2026-06-01T02:22:10Z,worker-1,longhorn-system,csi-attacher-896ffc747-rxjjt,csi-attacher,3.5,2.9,0.1,0.0,0.0,1227.0,1012.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0009335614
2026-06-01T02:22:10Z,worker-1,longhorn-system,csi-snapshotter-65884686fc-gjw5g,csi-snapshotter,11.5,11.5,0.0,0.0,0.0,1251.0,1106.0,0.0,0.0,0.0,0.0,0.0,876.0,0.0024912636
2026-06-01T02:22:10Z,worker-1,node,system,init.scope,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33027e-05
2026-06-01T02:22:10Z,worker-1,kube-system,nodelocaldns-zjml5,node-cache,12.9,4.5,0.4,1.2,0.0,4315.0,3292.0,0.0,0.0,0.0,0.0,0.0,654.0,0.0037994818
2026-06-01T02:22:10Z,worker-1,kube-system,kube-ovn-pinger-vfzmn,pinger,49.8,23.1,13.2,0.2,0.0,116043.0,1580.0,0.0,12288.0,0.0679595,17.0,26.0,3857.0,0.0186761095
2026-06-01T02:22:10Z,worker-1,kube-system,tetragon-kl9tz,tetragon,5.7,3.4,0.0,0.0,0.0,17332.0,239.0,0.0,0.0,0.0,0.0,0.0,12530.0,0.0325816397
2026-06-01T02:22:10Z,worker-1,longhorn-system,engine-image-ei-3154f3aa-kvvkq,engine-image-ei-3154f3aa,12.8,1.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,1029.0,0.012107349
2026-06-01T02:22:10Z,worker-1,kube-system,kube-proxy-pdwww,kube-proxy,2.5,0.5,0.0,0.0,0.0,17166.0,96.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0002915284
2026-06-01T02:22:10Z,worker-1,longhorn-system,engine-image-ei-843accdd-tx99h,engine-image-ei-843accdd,12.5,1.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,880.0,0.0109192979
2026-06-01T02:22:10Z,worker-1,kube-system,kube-ovn-cni-cf7cj,cni-server,308.1,20.7,359.8,0.2,0.0,160952.0,947.0,0.0,0.0,0.0,130.0,163.0,3676.0,0.0629642471
2026-06-01T02:22:10Z,worker-1,kube-system,ovs-ovn-w75jd,openvswitch,121.0,96.0,39.4,0.0,0.0,6059.0,41.0,0.0,0.0,0.0,52.0,88.0,2172.0,0.04001906
2026-06-01T02:22:10Z,worker-1,longhorn-system,csi-provisioner-688964c44b-7hv5d,csi-provisioner,24.0,6.3,0.1,0.0,0.0,156934.0,1950.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.0032130507
2026-06-01T02:22:10Z,worker-1,longhorn-system,instance-manager-bacbca1a1c80c6ca28fd5f2d5fd0c24c,instance-manager,29.2,8.1,1.2,0.1,0.0,4108.0,4873.0,0.0,0.0,0.0,1.0,1.0,675.0,0.0038917618
2026-06-01T02:22:10Z,worker-1,ebpf-final,ebpf-collector-5588x,collector,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2026-06-01T02:22:10Z,worker-1,longhorn-system,longhorn-csi-plugin-t8lpt,longhorn-liveness-probe,2.7,1.7,0.0,0.0,0.0,224.0,274.0,0.0,0.0,0.0,0.0,0.0,172.0,0.000821791
2026-06-01T02:22:10Z,worker-1,monitoring,my-monitoring-prometheus-node-exporter-829wk,node-exporter,0.4,0.2,0.0,0.0,0.0,208.0,3254.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0001495902
2026-06-01T02:22:10Z,worker-1,longhorn-system,csi-resizer-7d9bff5787-242pl,csi-resizer,2.0,1.9,0.0,0.0,0.0,1094.0,996.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0007398038
2026-06-01T02:22:10Z,worker-1,node,system,udev,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.84867e-05
2026-06-01T02:22:10Z,worker-1,kube-system,tetragon-kl9tz,export-stdout,6.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.000133756
2026-06-01T02:22:10Z,worker-1,node,system,multipathd.service,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.10736e-05
2026-06-01T02:22:10Z,worker-1,unknown,pod-faa3887e,nginx-proxy,0.0,0.0,0.0,0.0,0.0,53560.0,53608.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0003451643
2026-06-01T02:22:10Z,worker-1,node,system,cgroup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1400832.0,0.1291171796875,0.0,0.0,59782.0,15.4185153103
2026-06-01T02:22:10Z,worker-1,node,system,cron.service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3868e-06
2026-06-01T02:22:10Z,worker-1,node,system,rpcbind.service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8294e-06
2026-06-01T02:22:10Z,worker-1,node,system,wpa_supplicant.service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.862e-06
2026-06-01T02:22:10Z,worker-1,node,system,polkit.service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.78613e-05
