timestamp,node,namespace,pod,container,syscall_read_rate,syscall_write_rate,syscall_open_rate,tcp_connect_rate,tcp_retransmit_rate,network_rx_bytes,network_tx_bytes,disk_read_bytes,disk_write_bytes,disk_io_latency_ms,process_exec_count,process_fork_count,context_switch_count
2026-05-27T03:10:58Z,mock-node,default,mock-pod,app,288.485,96.904,19.322,4.764,0.172,48400.235,46671.504,21272.44,17332.978,2.075,4.237,1.028,3600.435
2026-05-27T03:11:08Z,mock-node,default,mock-pod,app,338.486,96.836,21.496,3.731,0.148,43327.885,37190.864,20916.338,14896.699,2.156,3.615,1.046,5083.791
2026-05-27T03:11:18Z,mock-node,default,mock-pod,app,270.249,113.187,21.67,5.898,0.181,44453.631,37935.72,19680.736,16422.177,2.075,3.732,0.856,4425.175
2026-05-27T03:11:28Z,mock-node,default,mock-pod,app,354.941,79.093,20.734,5.32,0.155,50363.558,47837.462,13956.909,14276.414,1.968,3.51,1.075,4755.158
2026-05-27T03:11:38Z,mock-node,default,mock-pod,app,234.09,101.176,22.008,5.709,0.243,52716.828,40715.645,16102.496,16384.747,1.816,3.728,0.81,4103.318
2026-05-27T03:11:48Z,mock-node,default,mock-pod,app,276.1,107.399,13.905,3.907,0.207,60825.123,43470.982,14300.17,9333.972,2.107,3.558,0.832,5503.707
2026-05-27T03:11:58Z,mock-node,default,mock-pod,app,349.58,92.123,20.737,5.326,0.248,54642.715,43111.897,21643.213,11471.301,2.385,4.573,1.079,3378.81
2026-05-27T03:12:08Z,mock-node,default,mock-pod,app,271.484,101.371,14.566,4.862,0.231,40166.085,49660.637,21655.892,14662.188,2.097,4.39,1.018,5624.875
2026-05-27T03:12:18Z,mock-node,default,mock-pod,app,270.23,84.401,23.125,5.02,0.174,57098.414,48792.985,18665.522,11895.015,1.96,3.911,0.955,5811.435
2026-05-27T03:12:28Z,mock-node,default,mock-pod,app,253.788,107.018,16.195,4.41,0.219,58465.177,45154.014,21035.674,15320.302,2.046,4.345,0.974,4999.754
2026-05-27T03:12:38Z,mock-node,default,mock-pod,app,325.773,90.011,22.292,5.424,0.26,52437.07,37434.442,18882.346,14970.512,2.277,3.798,1.058,6122.857
2026-05-27T03:12:48Z,mock-node,default,mock-pod,app,184.589,74.827,20.732,5.299,0.207,46766.364,43930.877,20846.39,13825.384,2.729,4.213,0.917,4728.397
2026-05-27T03:12:58Z,mock-node,default,mock-pod,app,289.848,89.153,11.816,4.635,0.23,41235.783,39599.799,22860.516,16926.398,2.447,2.979,0.947,4554.516
2026-05-27T03:13:08Z,mock-node,default,mock-pod,app,328.048,104.739,11.952,5.817,0.157,55123.624,31047.17,20527.558,17687.973,1.955,4.115,1.12,4901.792
2026-05-27T03:13:18Z,mock-node,default,mock-pod,app,296.018,110.699,23.145,4.78,0.282,41398.707,45487.655,19202.856,15297.823,2.212,4.133,1.096,3700.326
2026-05-27T03:13:28Z,mock-node,default,mock-pod,app,232.072,98.302,17.111,4.23,0.156,59497.85,44479.348,24419.224,12890.09,2.0,3.316,1.115,5944.384
2026-05-27T03:13:38Z,mock-node,default,mock-pod,app,259.94,111.064,22.964,4.867,0.141,60549.738,39422.437,18191.515,15899.09,2.123,4.899,0.847,5618.091
2026-05-27T03:13:48Z,mock-node,default,mock-pod,app,366.931,109.605,19.458,4.442,0.231,50863.89,40745.137,24272.644,14407.268,1.311,3.768,0.722,5389.524
2026-05-27T03:13:58Z,mock-node,default,mock-pod,app,314.267,81.749,19.971,5.624,0.202,59948.911,39632.291,23121.004,18355.832,2.483,3.597,1.132,3449.283
2026-05-27T03:14:08Z,mock-node,default,mock-pod,app,251.249,63.502,23.207,4.076,0.2,48558.395,39828.415,18225.435,15525.742,2.537,4.027,1.08,5520.374
2026-05-27T03:14:18Z,mock-node,default,mock-pod,app,291.092,72.994,18.334,5.805,0.151,45516.156,46044.464,22378.21,15017.141,2.242,4.1,0.823,3673.961
2026-05-27T03:14:28Z,mock-node,default,mock-pod,app,271.247,102.457,18.303,4.323,0.177,38511.748,39296.35,16461.179,15819.328,1.292,4.197,0.904,3401.653
2026-05-27T03:14:38Z,mock-node,default,mock-pod,app,332.612,86.281,13.31,4.344,0.209,46560.633,44679.902,22242.671,16499.032,2.098,4.8,1.099,5124.877
2026-05-27T03:14:48Z,mock-node,default,mock-pod,app,206.221,102.104,23.928,4.777,0.186,64552.238,29451.205,21406.571,20453.36,1.722,4.414,1.283,4713.448
2026-05-27T03:14:58Z,mock-node,default,mock-pod,app,325.254,102.185,17.283,4.933,0.209,56190.387,39792.795,19413.979,12713.829,1.892,4.535,1.015,4185.82
2026-05-27T03:15:08Z,mock-node,default,mock-pod,app,262.128,126.0,23.42,5.478,0.122,54661.112,42884.161,25052.291,15962.462,1.98,4.313,0.708,5543.942
2026-05-27T03:15:18Z,mock-node,default,mock-pod,app,314.62,80.522,23.977,6.357,0.158,45002.493,41747.593,20550.395,14103.419,1.708,5.272,1.156,3940.155
2026-05-27T03:15:28Z,mock-node,default,mock-pod,app,239.475,112.992,22.967,6.366,0.224,43459.434,41563.993,13519.813,13316.733,1.982,4.314,0.891,4710.559
2026-05-27T03:15:38Z,mock-node,default,mock-pod,app,320.635,95.085,21.914,5.157,0.19,55918.677,40296.157,17521.713,13591.662,2.0,3.934,1.024,4799.643
2026-05-27T03:15:48Z,mock-node,default,mock-pod,app,307.914,88.187,16.225,5.316,0.232,53259.822,38864.524,21339.34,12827.173,1.431,4.036,0.86,5332.699
2026-05-27T03:15:58Z,mock-node,default,mock-pod,app,251.216,54.515,16.881,6.184,0.189,39729.374,35419.862,21562.696,16117.945,2.053,4.89,1.106,4784.894
