timestamp,node,namespace,pod,container,syscall_read_rate,syscall_write_rate,syscall_open_rate,tcp_connect_rate,tcp_retransmit_rate,network_rx_bytes,network_tx_bytes,disk_read_bytes,disk_write_bytes,disk_io_latency_ms,process_exec_count,process_fork_count,context_switch_count
2026-05-27T03:10:59Z,mock-node,default,mock-pod,app,144.243,96.904,19.322,4.764,0.172,48400.235,46671.504,170179.52,173329.779,24.896,1.059,1.028,600.072
2026-05-27T03:11:09Z,mock-node,default,mock-pod,app,169.243,96.836,21.496,3.731,0.148,43327.885,37190.864,167330.704,148966.986,25.876,0.904,1.046,847.299
2026-05-27T03:11:19Z,mock-node,default,mock-pod,app,135.124,113.187,21.67,5.898,0.181,44453.631,37935.72,157445.888,164221.772,24.894,0.933,0.856,737.529
2026-05-27T03:11:29Z,mock-node,default,mock-pod,app,177.471,79.093,20.734,5.32,0.155,50363.558,47837.462,111655.268,142764.138,23.618,0.877,1.075,792.526
2026-05-27T03:11:39Z,mock-node,default,mock-pod,app,117.045,101.176,22.008,5.709,0.243,52716.828,40715.645,128819.966,163847.472,21.798,0.932,0.81,683.886
2026-05-27T03:11:49Z,mock-node,default,mock-pod,app,138.05,107.399,13.905,3.907,0.207,60825.123,43470.982,114401.361,93339.716,25.287,0.89,0.832,917.285
2026-05-27T03:11:59Z,mock-node,default,mock-pod,app,174.79,92.123,20.737,5.326,0.248,54642.715,43111.897,173145.702,114713.013,28.614,1.143,1.079,563.135
2026-05-27T03:12:09Z,mock-node,default,mock-pod,app,135.742,101.371,14.566,4.862,0.231,40166.085,49660.637,173247.135,146621.878,25.17,1.097,1.018,937.479
2026-05-27T03:12:19Z,mock-node,default,mock-pod,app,135.115,84.401,23.125,5.02,0.174,57098.414,48792.985,149324.174,118950.153,23.515,0.978,0.955,968.572
2026-05-27T03:12:29Z,mock-node,default,mock-pod,app,126.894,107.018,16.195,4.41,0.219,58465.177,45154.014,168285.394,153203.018,24.549,1.086,0.974,833.292
2026-05-27T03:12:39Z,mock-node,default,mock-pod,app,162.886,90.011,22.292,5.424,0.26,52437.07,37434.442,151058.771,149705.124,27.326,0.95,1.058,1020.476
