timestamp,node,namespace,pod,container,syscall_read_rate,syscall_write_rate,syscall_open_rate,tcp_connect_rate,tcp_retransmit_rate,network_rx_bytes,network_tx_bytes,disk_read_bytes,disk_write_bytes,disk_io_latency_ms,process_exec_count,process_fork_count,context_switch_count
2026-05-27T03:10:58Z,mock-node,default,mock-pod,app,144.243,96.904,19.322,14.291,2.581,48400.235,46671.504,21272.44,17332.978,3.112,1.059,1.028,600.072
2026-05-27T03:11:08Z,mock-node,default,mock-pod,app,169.243,96.836,21.496,11.194,2.215,43327.885,37190.864,20916.338,14896.699,3.234,0.904,1.046,847.299
2026-05-27T03:11:18Z,mock-node,default,mock-pod,app,135.124,113.187,21.67,17.693,2.721,44453.631,37935.72,19680.736,16422.177,3.112,0.933,0.856,737.529
2026-05-27T03:11:28Z,mock-node,default,mock-pod,app,177.471,79.093,20.734,15.96,2.33,50363.558,47837.462,13956.909,14276.414,2.952,0.877,1.075,792.526
2026-05-27T03:11:38Z,mock-node,default,mock-pod,app,117.045,101.176,22.008,17.128,3.648,52716.828,40715.645,16102.496,16384.747,2.725,0.932,0.81,683.886
2026-05-27T03:11:48Z,mock-node,default,mock-pod,app,138.05,107.399,13.905,11.72,3.108,60825.123,43470.982,14300.17,9333.972,3.161,0.89,0.832,917.285
2026-05-27T03:11:58Z,mock-node,default,mock-pod,app,174.79,92.123,20.737,15.977,3.717,54642.715,43111.897,21643.213,11471.301,3.577,1.143,1.079,563.135
2026-05-27T03:12:08Z,mock-node,default,mock-pod,app,135.742,101.371,14.566,14.586,3.459,40166.085,49660.637,21655.892,14662.188,3.146,1.097,1.018,937.479
2026-05-27T03:12:18Z,mock-node,default,mock-pod,app,135.115,84.401,23.125,15.06,2.604,57098.414,48792.985,18665.522,11895.015,2.939,0.978,0.955,968.572
2026-05-27T03:12:28Z,mock-node,default,mock-pod,app,126.894,107.018,16.195,13.229,3.284,58465.177,45154.014,21035.674,15320.302,3.069,1.086,0.974,833.292
2026-05-27T03:12:38Z,mock-node,default,mock-pod,app,162.886,90.011,22.292,16.273,3.905,52437.07,37434.442,18882.346,14970.512,3.416,0.95,1.058,1020.476
2026-05-27T03:12:48Z,mock-node,default,mock-pod,app,92.295,74.827,20.732,15.896,3.107,46766.364,43930.877,20846.39,13825.384,4.094,1.053,0.917,788.066
2026-05-27T03:12:58Z,mock-node,default,mock-pod,app,144.924,89.153,11.816,13.904,3.454,41235.783,39599.799,22860.516,16926.398,3.671,0.745,0.947,759.086
2026-05-27T03:13:08Z,mock-node,default,mock-pod,app,164.024,104.739,11.952,17.45,2.349,55123.624,31047.17,20527.558,17687.973,2.933,1.029,1.12,816.965
2026-05-27T03:13:18Z,mock-node,default,mock-pod,app,148.009,110.699,23.145,14.339,4.235,41398.707,45487.655,19202.856,15297.823,3.317,1.033,1.096,616.721
2026-05-27T03:13:28Z,mock-node,default,mock-pod,app,116.036,98.302,17.111,12.69,2.338,59497.85,44479.348,24419.224,12890.09,3.0,0.829,1.115,990.731
2026-05-27T03:13:38Z,mock-node,default,mock-pod,app,129.97,111.064,22.964,14.6,2.113,60549.738,39422.437,18191.515,15899.09,3.184,1.225,0.847,936.348
2026-05-27T03:13:48Z,mock-node,default,mock-pod,app,183.466,109.605,19.458,13.326,3.458,50863.89,40745.137,24272.644,14407.268,1.966,0.942,0.722,898.254
2026-05-27T03:13:58Z,mock-node,default,mock-pod,app,157.133,81.749,19.971,16.873,3.036,59948.911,39632.291,23121.004,18355.832,3.724,0.899,1.132,574.88
2026-05-27T03:14:08Z,mock-node,default,mock-pod,app,125.625,63.502,23.207,12.228,2.994,48558.395,39828.415,18225.435,15525.742,3.806,1.007,1.08,920.062
2026-05-27T03:14:18Z,mock-node,default,mock-pod,app,145.546,72.994,18.334,17.416,2.259,45516.156,46044.464,22378.21,15017.141,3.362,1.025,0.823,612.327
2026-05-27T03:14:28Z,mock-node,default,mock-pod,app,135.624,102.457,18.303,12.97,2.653,38511.748,39296.35,16461.179,15819.328,1.938,1.049,0.904,566.942
2026-05-27T03:14:38Z,mock-node,default,mock-pod,app,166.306,86.281,13.31,13.031,3.131,46560.633,44679.902,22242.671,16499.032,3.147,1.2,1.099,854.146
2026-05-27T03:14:48Z,mock-node,default,mock-pod,app,103.11,102.104,23.928,14.332,2.789,64552.238,29451.205,21406.571,20453.36,2.583,1.103,1.283,785.575
2026-05-27T03:14:58Z,mock-node,default,mock-pod,app,162.627,102.185,17.283,14.8,3.132,56190.387,39792.795,19413.979,12713.829,2.838,1.134,1.015,697.637
2026-05-27T03:15:08Z,mock-node,default,mock-pod,app,131.064,126.0,23.42,16.434,1.833,54661.112,42884.161,25052.291,15962.462,2.97,1.078,0.708,923.99
2026-05-27T03:15:18Z,mock-node,default,mock-pod,app,157.31,80.522,23.977,19.071,2.369,45002.493,41747.593,20550.395,14103.419,2.562,1.318,1.156,656.693
2026-05-27T03:15:28Z,mock-node,default,mock-pod,app,119.737,112.992,22.967,19.097,3.365,43459.434,41563.993,13519.813,13316.733,2.973,1.078,0.891,785.093
2026-05-27T03:15:38Z,mock-node,default,mock-pod,app,160.317,95.085,21.914,15.47,2.854,55918.677,40296.157,17521.713,13591.662,3.0,0.984,1.024,799.94
2026-05-27T03:15:48Z,mock-node,default,mock-pod,app,153.957,88.187,16.225,15.948,3.474,53259.822,38864.524,21339.34,12827.173,2.147,1.009,0.86,888.783
2026-05-27T03:15:58Z,mock-node,default,mock-pod,app,125.608,54.515,16.881,18.551,2.828,39729.374,35419.862,21562.696,16117.945,3.08,1.223,1.106,797.482
2026-05-27T03:16:08Z,mock-node,default,mock-pod,app,163.425,112.337,22.914,17.303,2.513,48886.736,44379.066,19110.67,17404.942,3.268,1.136,0.968,1105.565
2026-05-27T03:16:18Z,mock-node,default,mock-pod,app,177.9,87.092,20.272,20.839,2.846,56556.056,45882.7,20019.755,12373.939,3.084,1.054,1.169,893.947
2026-05-27T03:16:28Z,mock-node,default,mock-pod,app,150.548,101.523,21.62,15.464,3.025,48174.799,44116.963,16837.373,13585.462,3.002,0.78,0.935,558.939
2026-05-27T03:16:38Z,mock-node,default,mock-pod,app,134.635,97.674,21.699,14.877,2.896,39373.815,50966.891,21547.907,17460.264,2.603,0.972,0.727,893.659
2026-05-27T03:16:48Z,mock-node,default,mock-pod,app,171.041,64.385,19.844,16.418,2.207,36309.141,33609.47,18112.325,11843.564,3.014,1.037,1.095,884.241
2026-05-27T03:16:58Z,mock-node,default,mock-pod,app,183.81,105.718,16.064,13.863,2.523,41925.372,39512.201,20016.431,16103.303,2.286,0.814,0.997,776.065
2026-05-27T03:17:08Z,mock-node,default,mock-pod,app,142.997,89.147,17.721,16.578,3.159,49341.83,35967.605,19477.485,8876.397,2.558,1.006,0.774,823.943
2026-05-27T03:17:18Z,mock-node,default,mock-pod,app,153.317,71.403,19.248,14.294,3.207,54589.21,39782.191,17446.134,14675.387,2.971,1.11,1.044,713.293
2026-05-27T03:17:28Z,mock-node,default,mock-pod,app,119.526,84.963,17.779,12.498,2.948,46316.972,40632.621,21569.901,14070.748,4.046,0.952,1.165,814.599
2026-05-27T03:17:38Z,mock-node,default,mock-pod,app,175.114,57.925,17.746,15.556,3.271,67523.938,41935.232,23839.524,16724.491,3.426,1.077,0.977,861.095
2026-05-27T03:17:48Z,mock-node,default,mock-pod,app,125.742,105.948,16.948,15.561,3.954,48324.366,40117.028,23489.121,15059.045,2.637,1.039,1.087,885.208
