timestamp,node,namespace,pod,container,syscall_read_rate,syscall_write_rate,syscall_open_rate,tcp_connect_rate,tcp_retransmit_rate,network_rx_bytes,network_tx_bytes,disk_read_bytes,disk_write_bytes,disk_io_latency_ms,process_exec_count,process_fork_count,context_switch_count
2026-05-27T03:10:58Z,mock-node,default,mock-pod,app,178.984,109.568,20.199,4.427,0.167,50235.009,33867.381,15689.512,15448.452,2.04,1.082,0.863,800.601
2026-05-27T03:11:08Z,mock-node,default,mock-pod,app,148.543,69.671,21.614,5.241,0.272,51522.269,39131.786,23698.272,15447.28,2.273,0.945,1.033,922.915
2026-05-27T03:11:18Z,mock-node,default,mock-pod,app,165.666,91.734,16.753,5.334,0.202,55403.507,41297.398,23264.556,14883.989,2.061,1.1,0.837,751.801
2026-05-27T03:11:28Z,mock-node,default,mock-pod,app,138.749,116.738,19.721,5.489,0.219,47893.449,30694.979,22894.532,14083.807,2.215,0.804,0.934,950.819
2026-05-27T03:11:38Z,mock-node,default,mock-pod,app,182.198,72.417,16.002,4.967,0.222,51203.785,41821.328,17033.491,16320.281,2.335,0.935,0.785,708.942
2026-05-27T03:11:48Z,mock-node,default,mock-pod,app,167.137,66.595,19.724,4.257,0.196,48166.088,40095.141,24503.622,15946.598,2.4,0.979,0.928,845.457
2026-05-27T03:11:58Z,mock-node,default,mock-pod,app,86.195,89.462,20.481,4.074,0.214,45805.664,25245.399,19360.045,12797.597,1.844,0.977,1.188,812.378
2026-05-27T03:12:08Z,mock-node,default,mock-pod,app,149.359,95.252,14.564,5.93,0.168,53293.213,33239.317,17070.544,14108.352,2.569,1.105,0.909,765.883
2026-05-27T03:12:18Z,mock-node,default,mock-pod,app,124.094,89.539,18.281,5.541,0.159,47490.176,34947.948,17843.875,16600.113,2.038,1.088,1.178,937.948
2026-05-27T03:12:28Z,mock-node,default,mock-pod,app,119.135,97.249,14.716,4.952,0.258,48547.561,37784.848,20510.993,15040.339,2.008,0.886,1.162,906.687
2026-05-27T03:12:38Z,mock-node,default,mock-pod,app,145.225,94.249,21.975,5.774,0.212,55213.262,38420.736,16791.873,13885.506,2.306,1.147,1.022,731.912
2026-05-27T03:12:48Z,mock-node,default,mock-pod,app,156.923,112.456,24.063,4.487,0.199,39112.183,33186.596,20564.755,15055.722,2.289,1.19,1.125,958.373
2026-05-27T03:12:58Z,mock-node,default,mock-pod,app,137.691,74.761,21.502,7.009,0.211,41361.894,41454.352,24276.84,12672.707,2.241,0.908,1.191,894.253
2026-05-27T03:13:08Z,mock-node,default,mock-pod,app,156.841,117.001,18.773,4.485,0.256,43426.85,53193.357,19879.61,12667.489,1.999,1.02,1.03,776.965
2026-05-27T03:13:18Z,mock-node,default,mock-pod,app,174.328,58.682,18.336,4.803,0.255,35054.664,37961.647,16570.678,13504.191,2.192,1.062,1.216,728.054
2026-05-27T03:13:28Z,mock-node,default,mock-pod,app,156.045,105.841,22.71,4.748,0.234,43071.494,50820.209,20463.115,14746.571,2.081,1.127,1.261,782.958
2026-05-27T03:13:38Z,mock-node,default,mock-pod,app,141.73,97.918,17.385,3.728,0.225,47154.395,46760.849,16919.902,8483.435,2.085,1.023,1.24,863.066
2026-05-27T03:13:48Z,mock-node,default,mock-pod,app,156.961,97.92,18.898,5.058,0.159,53893.63,35168.021,18662.505,16574.423,2.275,0.849,1.301,729.003
2026-05-27T03:13:58Z,mock-node,default,mock-pod,app,168.788,102.843,20.672,5.129,0.254,56676.284,42672.702,14527.168,13319.039,2.349,1.029,0.857,722.907
2026-05-27T03:14:08Z,mock-node,default,mock-pod,app,143.111,99.262,21.161,5.748,0.175,57395.181,36988.719,19103.241,18899.524,2.022,0.979,0.968,753.818
2026-05-27T03:14:18Z,mock-node,default,mock-pod,app,185.086,108.584,22.151,5.138,0.231,49417.162,42715.724,21205.607,15200.136,2.495,1.263,1.199,570.422
2026-05-27T03:14:28Z,mock-node,default,mock-pod,app,191.309,99.482,18.648,4.982,0.234,58811.449,45130.258,20422.577,15080.569,2.25,0.986,0.865,725.196
2026-05-27T03:14:38Z,mock-node,default,mock-pod,app,146.858,94.489,26.791,3.973,0.214,49312.512,41805.472,24061.772,17793.131,1.953,0.916,0.796,791.448
2026-05-27T03:14:48Z,mock-node,default,mock-pod,app,178.057,86.421,22.112,5.531,0.212,58130.313,39318.168,17511.714,12361.929,2.278,0.946,0.953,900.114
2026-05-27T03:14:58Z,mock-node,default,mock-pod,app,132.246,113.898,21.999,4.605,0.181,58112.673,32896.762,18076.862,15014.059,2.061,1.002,1.058,756.335
2026-05-27T03:15:08Z,mock-node,default,mock-pod,app,147.271,107.079,21.938,4.663,0.251,35068.94,40506.073,22004.568,17187.879,2.034,0.942,1.088,776.785
2026-05-27T03:15:18Z,mock-node,default,mock-pod,app,160.681,51.436,21.145,4.407,0.228,55608.554,44372.992,18786.433,15976.772,1.897,1.032,0.98,695.438
2026-05-27T03:15:28Z,mock-node,default,mock-pod,app,194.483,99.771,13.83,5.67,0.158,48259.38,36508.927,18396.404,15541.784,1.902,0.783,0.999,843.784
2026-05-27T03:15:38Z,mock-node,default,mock-pod,app,189.815,84.405,16.432,4.715,0.22,43371.399,35673.729,21662.487,14974.965,2.067,0.906,0.876,761.118
2026-05-27T03:15:48Z,mock-node,default,mock-pod,app,146.536,85.488,21.294,5.41,0.216,53594.535,34685.269,16641.815,16803.862,2.004,1.018,0.826,774.625
2026-05-27T03:15:58Z,mock-node,default,mock-pod,app,135.653,78.332,18.111,3.879,0.203,58744.501,35753.234,20284.162,12542.75,2.201,1.28,0.815,772.689
2026-05-27T03:16:08Z,mock-node,default,mock-pod,app,182.038,94.965,20.345,3.467,0.195,56885.682,48616.25,21923.808,13695.522,1.794,0.727,0.839,934.681
2026-05-27T03:16:18Z,mock-node,default,mock-pod,app,147.423,71.925,23.958,3.745,0.238,47577.316,42036.416,22038.584,15590.264,2.381,1.002,0.951,720.578
2026-05-27T03:16:28Z,mock-node,default,mock-pod,app,117.49,80.621,22.947,5.619,0.242,70458.871,44280.13,21503.205,12041.386,1.927,1.329,1.079,783.441
2026-05-27T03:16:38Z,mock-node,default,mock-pod,app,156.964,64.408,17.497,4.018,0.136,55766.276,45793.903,19470.124,15779.299,1.698,1.068,1.114,984.175
2026-05-27T03:16:48Z,mock-node,default,mock-pod,app,185.115,96.582,19.619,4.38,0.182,54626.994,43393.363,20055.947,18743.975,2.195,1.002,0.971,809.286
2026-05-27T03:16:58Z,mock-node,default,mock-pod,app,128.644,76.773,21.043,4.561,0.192,59154.228,38841.693,23940.457,14981.081,2.455,1.07,0.736,948.608
2026-05-27T03:17:08Z,mock-node,default,mock-pod,app,145.338,63.481,20.341,5.117,0.161,45445.657,43283.79,24236.767,17566.739,2.367,1.168,0.627,712.793
2026-05-27T03:17:18Z,mock-node,default,mock-pod,app,154.212,53.706,22.31,5.669,0.177,47147.743,34364.032,19946.301,14908.967,1.998,0.847,1.058,759.098
2026-05-27T03:17:28Z,mock-node,default,mock-pod,app,171.387,94.226,15.548,3.918,0.202,46361.317,42818.839,22418.725,15044.183,1.494,0.821,1.086,673.973
2026-05-27T03:17:38Z,mock-node,default,mock-pod,app,174.954,88.776,21.559,4.337,0.197,27790.893,38750.741,21723.53,12982.169,1.747,0.992,1.01,703.02
2026-05-27T03:17:48Z,mock-node,default,mock-pod,app,165.205,67.785,23.344,3.947,0.175,59988.283,34032.53,15040.224,15170.69,1.724,0.833,0.895,710.744
2026-05-27T03:17:58Z,mock-node,default,mock-pod,app,128.063,76.113,24.836,4.496,0.229,39461.963,43265.266,16248.301,13968.101,2.191,0.92,0.705,733.721
2026-05-27T03:18:08Z,mock-node,default,mock-pod,app,146.453,97.741,17.005,4.776,0.202,37631.535,39359.937,17515.506,15985.138,1.967,0.975,0.638,786.949
2026-05-27T03:18:18Z,mock-node,default,mock-pod,app,141.661,77.259,18.469,4.052,0.205,54948.109,43583.581,18440.723,18779.67,2.256,0.858,0.979,604.464
2026-05-27T03:18:28Z,mock-node,default,mock-pod,app,147.342,99.619,23.806,4.686,0.146,48725.973,48166.727,20431.73,17869.085,2.248,1.234,1.09,720.266
2026-05-27T03:18:38Z,mock-node,default,mock-pod,app,160.031,124.254,18.446,3.608,0.263,53064.896,36239.792,18179.151,11534.72,2.211,1.021,0.905,749.221
2026-05-27T03:18:48Z,mock-node,default,mock-pod,app,140.372,104.409,19.453,6.035,0.175,45409.22,37104.366,18383.938,14795.58,2.308,1.181,0.839,953.387
