timestamp,node,namespace,pod,container,syscall_read_rate,syscall_write_rate,syscall_open_rate,tcp_connect_rate,tcp_retransmit_rate,network_rx_bytes,network_tx_bytes,disk_read_bytes,disk_write_bytes,disk_io_latency_ms,process_exec_count,process_fork_count,context_switch_count
2026-05-27T03:10:59Z,mock-node,default,mock-pod,app,144.243,96.904,19.322,4.764,6.884,19360.094,18668.602,21272.44,17332.978,2.075,1.059,1.028,600.072
2026-05-27T03:11:09Z,mock-node,default,mock-pod,app,169.243,96.836,21.496,3.731,5.907,17331.154,14876.346,20916.338,14896.699,2.156,0.904,1.046,847.299
2026-05-27T03:11:19Z,mock-node,default,mock-pod,app,135.124,113.187,21.67,5.898,7.256,17781.452,15174.288,19680.736,16422.177,2.075,0.933,0.856,737.529
2026-05-27T03:11:29Z,mock-node,default,mock-pod,app,177.471,79.093,20.734,5.32,6.212,20145.423,19134.985,13956.909,14276.414,1.968,0.877,1.075,792.526
2026-05-27T03:11:39Z,mock-node,default,mock-pod,app,117.045,101.176,22.008,5.709,9.729,21086.731,16286.258,16102.496,16384.747,1.816,0.932,0.81,683.886
2026-05-27T03:11:49Z,mock-node,default,mock-pod,app,138.05,107.399,13.905,3.907,8.287,24330.049,17388.393,14300.17,9333.972,2.107,0.89,0.832,917.285
2026-05-27T03:11:59Z,mock-node,default,mock-pod,app,174.79,92.123,20.737,5.326,9.913,21857.086,17244.759,21643.213,11471.301,2.385,1.143,1.079,563.135
2026-05-27T03:12:09Z,mock-node,default,mock-pod,app,135.742,101.371,14.566,4.862,9.223,16066.434,19864.255,21655.892,14662.188,2.097,1.097,1.018,937.479
2026-05-27T03:12:19Z,mock-node,default,mock-pod,app,135.115,84.401,23.125,5.02,6.943,22839.366,19517.194,18665.522,11895.015,1.96,0.978,0.955,968.572
2026-05-27T03:12:29Z,mock-node,default,mock-pod,app,126.894,107.018,16.195,4.41,8.758,23386.071,18061.606,21035.674,15320.302,2.046,1.086,0.974,833.292
2026-05-27T03:12:39Z,mock-node,default,mock-pod,app,162.886,90.011,22.292,5.424,10.413,20974.828,14973.777,18882.346,14970.512,2.277,0.95,1.058,1020.476
2026-05-27T03:12:49Z,mock-node,default,mock-pod,app,92.295,74.827,20.732,5.299,8.286,18706.546,17572.351,20846.39,13825.384,2.729,1.053,0.917,788.066
2026-05-27T03:12:59Z,mock-node,default,mock-pod,app,144.924,89.153,11.816,4.635,9.21,16494.313,15839.92,22860.516,16926.398,2.447,0.745,0.947,759.086
2026-05-27T03:13:09Z,mock-node,default,mock-pod,app,164.024,104.739,11.952,5.817,6.263,22049.45,12418.868,20527.558,17687.973,1.955,1.029,1.12,816.965
2026-05-27T03:13:19Z,mock-node,default,mock-pod,app,148.009,110.699,23.145,4.78,11.294,16559.483,18195.062,19202.856,15297.823,2.212,1.033,1.096,616.721
