timestamp,node,namespace,pod,container,anomaly_score,is_anomaly,top_features
2026-05-27T04:57:16Z,gpu-1,longhorn-system,longhorn-csi-plugin-q9c2h,longhorn-liveness-probe,0.004062,False,"[{""feature"": ""syscall_read_rate"", ""value"": 3.0, ""z"": -0.355}, {""feature"": ""process_fork_count"", ""value"": 0.0, ""z"": -0.336}, {""feature"": ""tcp_connect_rate"", ""value"": 0.0, ""z"": -0.322}]"
2026-05-27T04:57:16Z,gpu-1,node,system,kubelet.service,0.268016,False,"[{""feature"": ""tcp_connect_rate"", ""value"": 1.2, ""z"": 1.876}, {""feature"": ""syscall_read_rate"", ""value"": 435.2, ""z"": 1.251}, {""feature"": ""syscall_write_rate"", ""value"": 127.2, ""z"": 0.908}]"
2026-05-27T04:57:16Z,gpu-1,ebpf-final,ebpf-collector-zj6tk,collector,4.3e-05,False,"[{""feature"": ""syscall_read_rate"", ""value"": 0.1, ""z"": -0.366}, {""feature"": ""process_fork_count"", ""value"": 0.0, ""z"": -0.336}, {""feature"": ""tcp_connect_rate"", ""value"": 0.0, ""z"": -0.322}]"
2026-05-27T04:57:16Z,gpu-1,longhorn-system,csi-resizer-547f8b9dc8-55gvn,csi-resizer,0.001587,False,"[{""feature"": ""syscall_read_rate"", ""value"": 2.2, ""z"": -0.358}, {""feature"": ""process_fork_count"", ""value"": 0.0, ""z"": -0.336}, {""feature"": ""tcp_connect_rate"", ""value"": 0.0, ""z"": -0.322}]"
2026-05-27T04:57:16Z,gpu-1,node,system,fwupd.service,0.042227,False,"[{""feature"": ""syscall_read_rate"", ""value"": 0.7, ""z"": -0.364}, {""feature"": ""process_fork_count"", ""value"": 0.0, ""z"": -0.336}, {""feature"": ""tcp_connect_rate"", ""value"": 0.0, ""z"": -0.322}]"
2026-05-27T04:57:16Z,gpu-1,node,system,rsyslog.service,0.000474,False,"[{""feature"": ""syscall_read_rate"", ""value"": 0.1, ""z"": -0.366}, {""feature"": ""process_fork_count"", ""value"": 0.0, ""z"": -0.336}, {""feature"": ""tcp_connect_rate"", ""value"": 0.0, ""z"": -0.322}]"
2026-05-27T04:57:16Z,gpu-1,longhorn-system,longhorn-manager-8xnqn,longhorn-manager,0.617169,False,"[{""feature"": ""syscall_read_rate"", ""value"": 694.9, ""z"": 2.216}, {""feature"": ""syscall_write_rate"", ""value"": 253.0, ""z"": 2.084}, {""feature"": ""tcp_connect_rate"", ""value"": 1.3, ""z"": 2.06}]"
2026-05-27T04:57:16Z,gpu-1,longhorn-system,longhorn-csi-plugin-q9c2h,node-driver-registrar,4.3e-05,False,"[{""feature"": ""syscall_read_rate"", ""value"": 0.2, ""z"": -0.366}, {""feature"": ""process_fork_count"", ""value"": 0.0, ""z"": -0.336}, {""feature"": ""tcp_connect_rate"", ""value"": 0.0, ""z"": -0.322}]"
2026-05-27T04:57:16Z,gpu-1,longhorn-system,engine-image-ei-3154f3aa-btx9p,engine-image-ei-3154f3aa,0.059654,False,"[{""feature"": ""tcp_connect_rate"", ""value"": 0.0, ""z"": -0.322}, {""feature"": ""syscall_read_rate"", ""value"": 12.8, ""z"": -0.319}, {""feature"": ""syscall_write_rate"", ""value"": 1.0, ""z"": -0.271}]"
2026-05-27T04:57:16Z,gpu-1,kube-system,kube-proxy-xpwkg,kube-proxy,0.233803,False,"[{""feature"": ""syscall_open_rate"", ""value"": 270.7, ""z"": 1.011}, {""feature"": ""process_exec_count"", ""value"": 56.0, ""z"": 0.966}, {""feature"": ""process_fork_count"", ""value"": 56.0, ""z"": 0.388}]"
2026-05-27T04:57:16Z,gpu-1,kube-system,tetragon-svlgq,tetragon,0.06895,False,"[{""feature"": ""context_switch_count"", ""value"": 15731.0, ""z"": 0.381}, {""feature"": ""process_fork_count"", ""value"": 0.0, ""z"": -0.336}, {""feature"": ""syscall_read_rate"", ""value"": 9.9, ""z"": -0.33}]"
